13.3,10.4,8.5,10.73333333
11.2,10.6,11.1,10.96666667
8.8,11.2,14.4,11.46666667
9.7,12.7,17.3,13.23333333
9.7,13.2,11.6,11.5
10.8,8.5,12.2,10.5
10.6,9.7,12.4,10.9
9,10.1,10.2,9.766666667
13.2,11.5,7.3,10.66666667
16.8,13.1,9.9,13.26666667
14.9,14.2,13,14.03333333
15.5,15.1,8.8,13.13333333
17.9,13.1,12.3,14.43333333
17.7,15.4,13.9,15.66666667
18,9.3,11.9,13.06666667
21.6,11.7,15.4,16.23333333
19,12.2,16.6,15.93333333
19.3,10.7,16.1,15.36666667
18.7,13.6,17.5,16.6
19.7,16.3,18.2,18.06666667
19.2,15,15.3,16.5
19,11.7,17.8,16.16666667
18,14.1,17.7,16.6
17.6,13.7,14.5,15.26666667
17,11.2,13.4,13.86666667
13.4,13.8,10.9,12.7
11.5,14.6,13.2,13.1
12.4,12.7,12.7,12.6
7.1,14.4,16.1,12.53333333
9.5,15.8,15.8,13.7
10.2,13.3,16,13.16666667
13.2,12.3,15.8,13.76666667
15.7,12.3,18.9,15.63333333
13.7,12.6,17.8,14.7
10.3,13,17,13.43333333
14.5,11.5,16.9,14.3
14.4,12,17.7,14.7
16.1,12.3,16,14.8
16.1,11.2,15.7,14.33333333
16.6,13.1,14.2,14.63333333
15.7,14.3,15.2,15.06666667
17.8,14.1,14.2,15.36666667
17.6,13.3,15.1,15.33333333
17.3,14.5,12.3,14.7
11.2,12.6,13.2,12.33333333
13.6,11.2,13.4,12.73333333
13.7,13.4,13.8,13.63333333
14.7,11.2,14.7,13.53333333
14.9,11,13.5,13.13333333
16.8,11.2,11.9,13.3
16.7,9.9,13.5,13.36666667
17.6,13.2,15.1,15.3
18.1,11.3,15,14.8
18.1,8.6,14.2,13.63333333
17.3,9.6,12.7,13.2
15.8,11.5,9.9,12.4
15.4,12.4,10.4,12.73333333
15.9,11.7,14.2,13.93333333
15,14.4,10.1,13.16666667
14.3,14.8,11.3,13.46666667
16.4,12,14,14.13333333
16.3,13.8,14,14.7
14,13.9,13.5,13.8
12.5,13.1,13.1,12.9
11.1,10.4,10.4,10.63333333
10.9,8.4,9.2,9.5
9.8,8.9,10.5,9.733333333
13.3,7.7,12.1,11.03333333
16.6,11.9,11.8,13.43333333
18.9,12,10.8,13.9
18,13.3,8.4,13.23333333
15.5,13.1,10.5,13.03333333
16.6,11.9,13.6,14.03333333
12.7,7.7,12.9,11.1
12.7,6.9,13.1,10.9
16.9,9.6,12.1,12.86666667
16.6,8.7,12.7,12.66666667
15.7,9.1,12.6,12.46666667
15.9,8.7,10.4,11.66666667
15.1,10.9,12,12.66666667
15.3,12.6,12.3,13.4
17.7,13.9,12.1,14.56666667
18.3,13.8,12.8,14.96666667
18,13.1,14.3,15.13333333
17.1,14.6,10.9,14.2
17.6,14.3,11.3,14.4
17.1,11.9,7.7,12.23333333
17.6,6.2,8.5,10.76666667
16.8,6.1,9.9,10.93333333
17.1,5.9,9.2,10.73333333
16.5,7.6,11.1,11.73333333
15.7,5.2,9.8,10.23333333
16.3,6.4,8.8,10.5
16.6,7.2,10.3,11.36666667
15,7.6,9.6,10.73333333
14,5.6,9,9.533333333
13.9,7.1,8.9,9.966666667
12.4,9.8,6.8,9.666666667
12.5,8.2,7,9.233333333
11.9,8.1,6.2,8.733333333
11.1,7.4,8.6,9.033333333
10.2,8.9,8.9,9.333333333
10.1,7.2,7.9,8.4
4.9,8.4,5.7,6.333333333
6.3,10.2,4.4,6.966666667
6.2,9.3,6.2,7.233333333
5.9,8.1,8,7.333333333
8.2,10.6,8.9,9.233333333
9.3,11.3,11.2,10.6
10.1,9.6,8.3,9.333333333
10.2,7.6,7.2,8.333333333
8.4,7.1,8,7.833333333
5,7.3,7.9,6.733333333
5.9,6.8,7,6.566666667
4.7,9.2,5.6,6.5
9.9,7.5,10,9.133333333
12.6,7.5,11.3,10.46666667
11.3,6.9,10.6,9.6
9.1,7.7,9.6,8.8
9.9,6.9,9.5,8.766666667
9.5,7,10,8.833333333
7.9,9.5,9.1,8.833333333
7.2,10.8,5.2,7.733333333
6.9,8.2,5.4,6.833333333
5.7,6.7,5.7,6.033333333
4.9,5.3,7.6,5.933333333
4.1,6.2,6.9,5.733333333
5.7,5.9,7,6.2
8.8,5.6,6.3,6.9
7.1,6,5.8,6.3
9.9,7.5,3.6,7
9,7,6.2,7.4
8.2,7.3,6.2,7.233333333
10.2,6.2,9.8,8.733333333
10.8,5.1,7.3,7.733333333
9.5,4.1,5,6.2
9.4,3.6,7.4,6.8
6.7,3.5,8.2,6.133333333
5.5,2.3,9.6,5.8
4.7,3.2,8.7,5.533333333
5.6,4.7,6,5.433333333
7.5,5.1,4.7,5.766666667
11.2,6.9,3.9,7.333333333
11.8,6.8,4.1,7.566666667
8.2,5.6,6.1,6.633333333
6.4,8.3,5.5,6.733333333
7.2,6.8,5.5,6.5
9.2,6.4,5.1,6.9
8.5,3.7,8.5,6.9
5.9,5.2,6.3,5.8
3.7,4.1,6.3,4.7
5.4,3.5,8,5.633333333
6,3.1,4,4.366666667
5.4,3.6,4.5,4.5
5.4,7,4,5.466666667
5.5,4.7,2.9,4.366666667
5.2,3.6,5.6,4.8
4.6,2.7,5.1,4.133333333
6,2.5,6,4.833333333
6.4,1.7,8,5.366666667
7.4,2.5,6.6,5.5
4.9,3.2,3.7,3.933333333
3.5,3.1,3,3.2
4.6,2,3.5,3.366666667
5.1,1.7,4.5,3.766666667
5.8,3,4.3,4.366666667
4.7,4,2.7,3.8
3.3,2.6,2.2,2.7
2.9,1.7,2.7,2.433333333
1.2,2.8,3.4,2.466666667
1.2,2.6,2.8,2.2
2.6,2.7,2.8,2.7
4.3,2.4,4.3,3.666666667
4.4,1.2,3.6,3.066666667
5.3,2.1,2.3,3.233333333
4.3,3.3,2.2,3.266666667
4,3.4,2.5,3.3
4.5,2.5,2.3,3.1
2.5,4.4,2.5,3.133333333
2.1,3.7,1.9,2.566666667
2.1,3.5,1.5,2.366666667
3.1,2.7,0.1,1.966666667
5.3,2.6,1.3,3.066666667
2.7,1.7,2.2,2.2
2.4,1.4,0.5,1.433333333
2.6,1.3,2.9,2.266666667
2.1,2.9,2.4,2.466666667
1.6,3.8,1.9,2.433333333
1.6,3.9,2.4,2.633333333
2.4,2.6,2.8,2.6
2.6,1.9,1.8,2.1
3.1,2.7,1.5,2.433333333
3.1,1.4,1.3,1.933333333
1.5,1.1,1.3,1.3
0.4,2.2,1,1.2
1.3,1.1,1.7,1.366666667
0.9,1.8,2,1.566666667
0.9,0.8,1.3,1
0.7,0.2,2.5,1.133333333
1.1,0.2,2.1,1.133333333
1,0.4,2.5,1.3
0.8,1.1,1.7,1.2
0.8,1.3,1.7,1.266666667
0.1,0.7,3.2,1.333333333
1,0.8,5.1,2.3
0.9,1.1,3.9,1.966666667
2,1,5.2,2.733333333
2.6,0.4,2.6,1.866666667
1.5,1.9,3.4,2.266666667
1.5,1.7,4.8,2.666666667
2,1.6,4.6,2.733333333
0.9,1.5,4.7,2.366666667
0.3,1.3,4,1.866666667
0.7,2,2.4,1.7
1.8,2.4,1.2,1.8
1.4,2.4,2.3,2.033333333
2,2.1,2.2,2.1
2.9,0.7,1.9,1.833333333
2.5,1.7,3.2,2.466666667
2.9,1.6,2,2.166666667
1.4,2,2,1.8
2.1,2.9,1.1,2.033333333
1.6,3.1,3.4,2.7
3,3.5,1.9,2.8
4.6,3,1.6,3.066666667
3.4,3.3,2.3,3
0.9,3.7,2.6,2.4
1.1,3.4,3.3,2.6
2.6,2.9,2.8,2.766666667
1.7,4.1,2.9,2.9
3.3,5.6,3,3.966666667
2.8,5.7,0.9,3.133333333
2.3,6,0.4,2.9
0.8,3.8,0.6,1.733333333
1,6.2,1.3,2.833333333
1.8,5.4,4.6,3.933333333
2.4,3.6,4,3.333333333
1.5,3.4,2.1,2.333333333
2.8,3.4,3.7,3.3
3.1,1.5,3.6,2.733333333
1.9,2.2,2,2.033333333
1.7,2.3,2.6,2.2
3.1,3.1,4.4,3.533333333
4.6,2.9,4.7,4.066666667
2.7,3.3,5.9,3.966666667
2.4,2.3,6.4,3.7
2.7,2.3,5.6,3.533333333
2.9,1.2,6.5,3.533333333
5.2,1.9,6.4,4.5
5.6,3.3,5.7,4.866666667
6.9,4.7,6.5,6.033333333
7.2,4.1,4.3,5.2
5.6,3.8,4.5,4.633333333
5.6,4.4,3.2,4.4
3.1,3.1,3.1,3.1
3.6,3.2,5,3.933333333
7.9,3.4,5.5,5.6
7.7,3.3,5.1,5.366666667
7.9,3.3,6,5.733333333
7.4,1.7,5.4,4.833333333
6.9,1.2,4.4,4.166666667
